date,usa,uk,india,japan,germany
2000-01-01,0.12292465753484445,0.15541760850257993,,,
2000-04-01,0.005276411359062681,0.6146337620387824,,,
2000-07-01,0.09879850486379145,0.543905929000335,,,
2000-10-01,0.031162311428212932,0.5731003944658566,,,
2001-01-01,0.24078028160259485,0.2574345470202184,,,
2001-04-01,0.11237004852514638,0.1935583381000896,,,
2001-07-01,0.46132974477269806,0.32908982200475434,,,
2001-10-01,0.23502246071470662,0.3264103338226863,,,
2002-01-01,0.10181394256987021,0.06496408732587516,,,
2002-04-01,0.15486981907713934,0.09111053609340566,,0.07194995323963141,
2002-07-01,0.14575564508761368,0.1336756545553505,,0.12960654713726918,
2002-10-01,0.26683673203739355,0.09245992986700156,,0.21451200570564194,
2003-01-01,0.1785897550249967,0.12304383916397871,,0.4238716885012805,
2003-04-01,0.05991077530155361,0.043641174017077865,,0.3074868849288477,
2003-07-01,0.02421871241645419,0.04350598890592213,,0.1828752437640698,
2003-10-01,0.06851343096150825,0.08661652378844172,,0.08177235029397226,
2004-01-01,0.1600188562306675,0.22827886568339315,,0.11075485860100126,
2004-04-01,0.1961428039227372,0.04222840255542478,,0.12489274962160885,
2004-07-01,0.09200823247464705,0.381369950564788,,0.09443973802813112,
2004-10-01,0.06257430518387373,0.09271189357418343,,0.34530012516918557,
2005-01-01,0.03604374762511766,0.36405745900012115,,0.13529296265046983,0.268515474018686
2005-04-01,0.08492391494505774,0.08400432894675561,,0.1073202905753291,0.08116888235125361
2005-07-01,0.04766692772013507,0.2713310009869445,,0.07235585894167972,0.07283617387015215
2005-10-01,0.06092860414852819,0.19691503155476808,,0.07149649210721856,0.16116091804417443
2006-01-01,0.009934980248685303,0.26868658652618804,,0.11217021561099684,0.044696497034454094
2006-04-01,0.1026651074385523,0.12185140107837934,,0.10285591504077944,0.020654611267796323
2006-07-01,0.08051537118659935,0.25633738466025,,0.2844645434471466,0.09137656642607035
2006-10-01,0.011702592126016199,0.5244548257887217,,0.0964317589887311,0.016678167922799143
2007-01-01,0.038620645036495406,0.3256157249698778,,0.1313167881540986,0.31465002280429233
2007-04-01,0.03077444978027321,0.07158607135364613,,0.1808079344187258,0.19003023832628851
2007-07-01,0.036304282719306046,0.5931828171816328,,0.3718598528383155,0.23318610330178244
2007-10-01,0.07301981964407489,0.6536117175003815,,0.33930744451342276,0.22522184488063973
2008-01-01,0.5361095668728172,0.3837824470070129,,0.6031512650033415,0.30625191530898926
2008-04-01,0.18732951740204162,0.522202751048558,,0.7103776953472923,0.7222924011210482
2008-07-01,0.7274249727416257,0.7753502671891639,,0.9302234735068416,0.8330327673587844
2008-10-01,0.966449408089187,0.8736064700217706,,0.9439954265910466,0.9329719394508066
2009-01-01,0.49000853267005573,0.762792846815941,,0.9733195237180087,0.9998930216030526
2009-04-01,0.11774189757873184,0.12162752677440032,,0.08494528319488444,0.3903683173624484
2009-07-01,0.0385861348925046,0.026629933503327166,,0.1331714601131846,0.21009148822673884
2009-10-01,0.022593377761091344,0.07484987785504058,,0.02217287526800064,0.26537161291778544
2010-01-01,0.10910390230050876,0.0014938239820670223,,0.0763271891973584,0.34651359608749377
2010-04-01,0.03203744524040687,0.008122792248799065,,0.08026129085107103,0.035827085405539694
2010-07-01,0.02360431678956115,0.025232909946969553,,0.0645379098038532,0.2447460015131525
2010-10-01,0.04209978611722501,0.03096452474177845,,0.54333193246583,0.4258322404803284
2011-01-01,0.3327345581190822,0.0033586717864529,,0.5268519672603559,0.1378585281909888
2011-04-01,0.08868082050425216,0.10971017573752816,,0.408531536368601,0.770072608965378
2011-07-01,0.20346242042429927,0.031554601602243375,,0.07993864863951364,0.5823063514464301
2011-10-01,0.018918225841926584,0.08331699766695763,,0.3141627466473932,0.8000203038327862
2012-01-01,0.029163355685012785,0.05424796322587592,0.4672131251240738,0.20206649724944956,0.7453330635956903
2012-03-31,,,0.28910107334183155,,
2012-04-01,0.040678195630961124,0.27704629030870437,0.9582265369870534,0.6939864156905572,0.7517573375074457
2012-06-30,,,0.9582265369870534,,
2012-07-01,0.06223969624845272,0.04986237429533119,0.8956362139396368,0.45876799138127017,0.7620602574690618
2012-09-30,,,0.8956362139396368,,
2012-10-01,0.07822846568536035,0.14430824378274096,0.8469133533083175,0.4216169522479882,0.9052411481920682
2012-12-31,,,0.8469133533083175,,
2013-01-01,0.016961396201465057,0.044692768208864274,0.9534304584370268,0.14185743405592158,0.9205651110485004
2013-03-31,,,0.9236750277172898,,
2013-04-01,0.06961547339282331,0.07162977046893226,0.9443746351960102,0.18308136905964997,0.28035842285838275
2013-06-30,,,0.9443746351960102,,
2013-07-01,0.0439036336967592,0.013489834754840588,0.7628618388575336,0.4303898970226465,0.6564531528934977
2013-09-30,,,0.7628618388575336,,
2013-10-01,0.04191066539510603,0.03163834417697545,0.8275688352009096,0.7891854361581574,0.7627309127401171
2013-12-31,,,0.8275688352009096,,
2014-01-01,0.37371390253786035,0.01753862861518798,0.23574184873243847,0.5801887860596887,0.3147347778985892
2014-03-31,,,0.1760608899264389,,
2014-04-01,0.027384469803487774,0.03518761901420944,0.3193309100422701,0.989509936683411,0.7598066672163113
2014-06-30,,,0.3193309100422701,,
2014-07-01,0.027347779478685313,0.009466543415567403,0.22456905666104232,0.9521765667757653,0.4433029058226988
2014-09-30,,,0.22456905666104232,,
2014-10-01,0.08428151263899812,0.1356025010725027,0.049911287240921774,0.8772010980160677,0.27272188946727177
2014-12-31,,,0.049911287240921774,,
2015-01-01,0.022421942923385556,0.1647012672920484,0.10898946816686063,0.709717037629618,0.6093494206726913
2015-03-31,,,0.07656357824110126,,
2015-04-01,0.04848190254659034,0.1669685850825787,0.11985011583869437,0.6106589017267224,0.4574245799292916
2015-06-30,,,0.11985011583869437,,
2015-07-01,0.0847775811286098,0.10424261379808628,0.041765171579421376,0.4844036726690065,0.4553707684288997
2015-09-30,,,0.041765171579421376,,
2015-10-01,0.12738106243209746,0.06964981307577742,0.16119512092986882,0.6210863603907499,0.3919020186860728
2015-12-31,,,0.16119512092986882,,
2016-01-01,0.05441140064732143,0.10680612973850458,0.09840426724030689,0.43725388027581036,0.22981092671583556
2016-03-31,,,0.0668182911654345,,
2016-04-01,0.08334779983261269,0.13046127228797594,0.14569067382621306,0.6295196678987932,0.4836262980153216
2016-06-30,,,0.14569067382621306,,
2016-07-01,0.03407534998963742,0.10254607017043724,0.04802715873867569,0.45955172314708187,0.4741943969259682
2016-09-30,,,0.04802715873867569,,
2016-10-01,0.07952495982632225,0.08015891963382855,0.006844950712759008,0.6392094339952188,0.560665526678331
2016-12-31,,,0.006844950712759008,,
2017-01-01,0.1309038746887799,0.069232711707844,0.00472349005893981,0.4586599965391499,0.2880331320478546
2017-03-31,,,0.0026994373208559246,,
2017-04-01,0.070271838644047,0.13807674882871512,0.0025742973993122345,0.5727207153848081,0.5323481421302363
2017-06-30,,,0.0025742973993122345,,
2017-07-01,0.04189648762182429,0.14428329615805216,0.0030577933120358248,0.43701255680691564,0.5389665910708697
2017-09-30,,,0.0030577933120358248,,
2017-10-01,0.02267603177266651,0.055586263521644266,0.0107714039611439,0.6326365789935422,0.40694064477346464
2017-12-31,,,0.0107714039611439,,
2018-01-01,0.04751977315497169,0.2003004632260821,0.016304369887543593,0.81449598856492,0.9431516684431452
2018-03-31,,,0.00865650393169718,,
2018-04-01,0.0867294176847676,0.10879569042989343,0.01705305717437137,0.5428495701346074,0.5930362144035145
2018-06-30,,,0.01705305717437137,,
2018-07-01,0.06341337779885411,0.1612733147833609,0.03142390122333396,0.818219475023617,0.9642493971352102
2018-09-30,,,0.03142390122333396,,
2018-10-01,0.12248739763879453,0.14451925661186313,0.015195069751828376,0.6866288353383251,0.7718099249139005
2018-12-31,,,0.015195069751828376,,
2019-01-01,0.028962290231692885,0.2544065520655789,0.04721507221271369,0.5831592110364198,0.5756347868813299
2019-03-31,,,0.8518187761807926,,
2019-04-01,0.01868032167477009,0.13879236059132566,0.9831423379676608,0.6480760343718085,0.834335867948098
2019-06-30,,,0.9831423379676608,,
2019-07-01,0.007918702250059322,0.21966573918658075,0.8858716248285359,0.65197455071753,0.6589415527301837
2019-09-30,,,0.8858716248285359,,
2019-10-01,0.03079767108352566,0.37921741000797254,0.9800597657622611,0.9599962649493112,0.8793131669206954
2019-12-31,,,0.9800597657622611,,
2020-01-01,0.643946430567788,0.943868661293371,0.8678903629149343,0.616450671929107,0.9955315678724412
2020-03-31,,,0.31185214491084406,,
2020-04-01,0.99998071332489,0.999999993215434,0.8998763857300011,0.9986702941612352,0.9999999812498318
2020-06-30,,,0.8998763857300011,,
2020-07-01,4.450769856521283e-09,9.033452380430749e-08,0.06468572710804857,0.012563579365462544,2.577341396083079e-08
2020-09-30,,,0.06468572710804857,,
2020-10-01,0.006058763545600163,0.27956029418196116,0.1429268181953664,0.09147064204248821,0.11200078805963386
2020-12-31,,,0.1429268181953664,,
2021-01-01,0.007807889828421173,0.3337674918502243,0.1285778357800121,0.17232906142757287,0.9135077312089449
2021-03-31,,,0.9830875179687028,,
2021-04-01,0.013947064880432286,0.00024263403589499732,0.9991692052965931,0.19572680137357248,0.05739074938596046
2021-06-30,,,0.9991692052965931,,
2021-07-01,0.08804543669499315,0.013336934927897883,0.9844861765995506,0.34957672123671296,0.943230470337351
2021-09-30,,,0.9844861765995506,,
2021-10-01,0.03795557334576192,0.01249823854898118,0.9908547473194921,0.13299813377220146,0.9282671342780284
2021-12-31,,,0.9908547473194921,,
2022-01-01,0.7936853231383719,0.018142534696216538,0.993251767274023,0.3421496237573636,0.9325293941293166
2022-03-31,,,0.9999446243609147,,
2022-04-01,0.7198380908712461,0.010967592693056801,0.9999939018489378,0.1307039677901581,0.9950021090798338
2022-06-30,,,0.9999939018489378,,
2022-07-01,0.2051150566926352,0.04861714775581471,0.9999540536147494,0.33369202025097994,0.9944363570422707
2022-09-30,,,0.9999540536147494,,
2022-10-01,0.09954011495854836,0.014411999991532361,0.9998810193164025,0.17298458026834757,0.9990951265904044
2022-12-31,,,0.9998810193164025,,
2023-01-01,0.036673064096219836,0.13705076994513984,0.999832252029602,0.12012673425148583,0.9987920711875522
2023-03-31,,,0.9999939593185553,,
2023-04-01,0.018226775408009998,0.18487414656988665,0.9999959968603029,0.18498272403967386,0.9883825790052401
2023-06-30,,,0.9999959968603029,,
2023-07-01,0.006894496709499732,0.5697687689203389,0.999997186070185,0.3848909707651156,0.9716435959678245
2023-09-30,,,0.999997186070185,,
2023-10-01,0.013823107108294807,0.8334234612174031,0.999987266295789,0.09151190982525027,0.9270752237927933
2023-12-31,,,0.999987266295789,,
2024-01-01,0.04026397940702607,0.14510615513768943,0.9999763174964278,0.23073700738089456,0.8011073036563494
2024-03-31,,,0.9999700475523093,,
2024-04-01,0.01223932895798677,0.26237119318291785,0.9999881836603012,0.10058079289217708,0.8392815666188147
2024-07-01,0.009119200747685113,0.24680245522411878,0.9999472141972533,0.08397097239188225,0.7050743642818565
2024-10-01,0.03959511563447299,0.22858884264089827,0.999965883394982,0.0989904001070017,0.7500386089706987
